,date,value,name_B08P1PDS6D
0,2020-11-28,20604.0,Albums
1,2020-11-29,20604.0,Albums
2,2020-11-30,20604.0,Albums
3,2020-12-01,24121.0,Albums
4,2020-12-02,24121.0,Albums
5,2020-12-03,24121.0,Albums
6,2020-12-04,23643.0,Albums
7,2020-12-05,16758.0,Albums
8,2020-12-06,16758.0,Albums
9,2020-12-07,16758.0,Albums
10,2020-12-08,19258.0,Albums
11,2020-12-09,19258.0,Albums
12,2020-12-10,19634.0,Albums
13,2020-12-11,19634.0,Albums
14,2020-12-12,19634.0,Albums
15,2020-12-13,19634.0,Albums
16,2020-12-14,22998.0,Albums
17,2020-12-15,22998.0,Albums
18,2020-12-16,30348.0,Albums
19,2020-12-17,30348.0,Albums
20,2020-12-18,30348.0,Albums
21,2020-12-19,30348.0,Albums
22,2020-12-20,30348.0,Albums
23,2020-12-21,35806.0,Albums
24,2020-12-22,35806.0,Albums
25,2020-12-23,35806.0,Albums
26,2020-12-24,35806.0,Albums
27,2020-12-25,26333.0,Albums
28,2020-12-26,26333.0,Albums
29,2020-12-27,26333.0,Albums
30,2020-12-28,26333.0,Albums
31,2020-12-29,26333.0,Albums
32,2020-12-30,29100.0,Albums
33,2020-12-31,29100.0,Albums
34,2021-01-01,29100.0,Albums
35,2021-01-02,29100.0,Albums
36,2021-01-03,29100.0,Albums
37,2021-01-04,43118.0,Albums
38,2021-01-05,43118.0,Albums
39,2021-01-06,43118.0,Albums
40,2021-01-07,43118.0,Albums
41,2021-01-08,28698.0,Albums
42,2021-01-09,28698.0,Albums
43,2021-01-10,28698.0,Albums
44,2021-01-11,28698.0,Albums
45,2021-01-12,58416.0,Albums
46,2021-01-13,58416.0,Albums
47,2021-01-14,58416.0,Albums
48,2021-01-15,58416.0,Albums
49,2021-01-16,58416.0,Albums
50,2021-01-17,58416.0,Albums
51,2021-01-18,73672.0,Albums
52,2021-01-19,73672.0,Albums
53,2021-01-20,24005.0,Albums
54,2021-01-21,15915.0,Albums
55,2021-01-22,15915.0,Albums
56,2021-01-23,8457.0,Albums
57,2021-01-24,8457.0,Albums
58,2021-01-25,8457.0,Albums
59,2021-01-26,2850.0,Albums
60,2021-01-27,2850.0,Albums
61,2021-01-28,2850.0,Albums
62,2021-01-29,2850.0,Albums
