,date,value,name_B08V58TSRV
0,2021-02-07,53181.0,Floor Cleaners
1,2021-02-08,53181.0,Floor Cleaners
2,2021-02-09,68191.0,Floor Cleaners
3,2021-02-10,68191.0,Floor Cleaners
4,2021-02-11,68191.0,Floor Cleaners
5,2021-02-12,68191.0,Floor Cleaners
6,2021-02-13,68191.0,Floor Cleaners
7,2021-02-14,68191.0,Floor Cleaners
8,2021-02-15,24151.0,Floor Cleaners
9,2021-02-16,24151.0,Floor Cleaners
10,2021-02-17,24151.0,Floor Cleaners
11,2021-02-18,26302.0,Floor Cleaners
12,2021-02-19,26302.0,Floor Cleaners
13,2021-02-20,19688.0,Floor Cleaners
14,2021-02-21,19688.0,Floor Cleaners
15,2021-02-22,43763.0,Floor Cleaners
16,2021-02-23,60873.0,Floor Cleaners
17,2021-02-24,60873.0,Floor Cleaners
18,2021-02-25,60873.0,Floor Cleaners
19,2021-02-26,60873.0,Floor Cleaners
20,2021-02-27,100073.0,Floor Cleaners
21,2021-02-28,100073.0,Floor Cleaners
22,2021-03-01,100073.0,Floor Cleaners
23,2021-03-02,89959.0,Floor Cleaners
24,2021-03-03,89959.0,Floor Cleaners
25,2021-03-04,89959.0,Floor Cleaners
26,2021-03-05,19061.0,Floor Cleaners
27,2021-03-06,19061.0,Floor Cleaners
28,2021-03-07,19061.0,Floor Cleaners
29,2021-03-08,19061.0,Floor Cleaners
30,2021-03-09,19061.0,Floor Cleaners
31,2021-03-10,13534.0,Floor Cleaners
32,2021-03-11,13534.0,Floor Cleaners
33,2021-03-12,13534.0,Floor Cleaners
34,2021-03-13,17946.0,Floor Cleaners
35,2021-03-14,17946.0,Floor Cleaners
36,2021-03-15,17946.0,Floor Cleaners
37,2021-03-16,17028.0,Floor Cleaners
38,2021-03-17,16749.0,Floor Cleaners
39,2021-03-18,12931.0,Floor Cleaners
40,2021-03-19,12931.0,Floor Cleaners
41,2021-03-20,12931.0,Floor Cleaners
42,2021-03-21,12931.0,Floor Cleaners
43,2021-03-22,12931.0,Floor Cleaners
44,2021-03-23,13646.0,Floor Cleaners
45,2021-03-24,13646.0,Floor Cleaners
46,2021-03-25,13156.0,Floor Cleaners
47,2021-03-26,15561.0,Floor Cleaners
48,2021-03-27,15561.0,Floor Cleaners
49,2021-03-28,15561.0,Floor Cleaners
50,2021-03-29,15561.0,Floor Cleaners
51,2021-03-30,15399.0,Floor Cleaners
52,2021-03-31,15399.0,Floor Cleaners
53,2021-04-01,15399.0,Floor Cleaners
54,2021-04-02,15399.0,Floor Cleaners
55,2021-04-03,16009.0,Floor Cleaners
56,2021-04-04,16009.0,Floor Cleaners
57,2021-04-05,16009.0,Floor Cleaners
58,2021-04-06,20310.0,Floor Cleaners
59,2021-04-07,20310.0,Floor Cleaners
60,2021-04-08,17842.0,Floor Cleaners
61,2021-04-09,17842.0,Floor Cleaners
62,2021-04-10,17842.0,Floor Cleaners
63,2021-04-11,17842.0,Floor Cleaners
64,2021-04-12,14048.0,Floor Cleaners
65,2021-04-13,14048.0,Floor Cleaners
66,2021-04-14,14048.0,Floor Cleaners
67,2021-04-15,14048.0,Floor Cleaners
68,2021-04-16,16450.0,Floor Cleaners
69,2021-04-17,16450.0,Floor Cleaners
70,2021-04-18,16450.0,Floor Cleaners
71,2021-04-19,16420.0,Floor Cleaners
72,2021-04-20,16420.0,Floor Cleaners
73,2021-04-21,19983.0,Floor Cleaners
74,2021-04-22,19983.0,Floor Cleaners
75,2021-04-23,21598.0,Floor Cleaners
76,2021-04-24,21598.0,Floor Cleaners
77,2021-04-25,21598.0,Floor Cleaners
78,2021-04-26,16765.0,Floor Cleaners
79,2021-04-27,16765.0,Floor Cleaners
80,2021-04-28,16765.0,Floor Cleaners
81,2021-04-29,19773.0,Floor Cleaners
82,2021-04-30,19773.0,Floor Cleaners
83,2021-05-01,19773.0,Floor Cleaners
84,2021-05-02,18637.0,Floor Cleaners
85,2021-05-03,18637.0,Floor Cleaners
86,2021-05-04,18637.0,Floor Cleaners
87,2021-05-05,18637.0,Floor Cleaners
88,2021-05-06,18628.0,Floor Cleaners
89,2021-05-07,18628.0,Floor Cleaners
90,2021-05-08,18628.0,Floor Cleaners
91,2021-05-09,20123.0,Floor Cleaners
92,2021-05-10,20123.0,Floor Cleaners
93,2021-05-11,20123.0,Floor Cleaners
94,2021-05-12,19289.0,Floor Cleaners
95,2021-05-13,19289.0,Floor Cleaners
96,2021-05-14,19289.0,Floor Cleaners
97,2021-05-15,25285.0,Floor Cleaners
98,2021-05-16,25285.0,Floor Cleaners
99,2021-05-17,25285.0,Floor Cleaners
100,2021-05-18,23250.0,Floor Cleaners
101,2021-05-19,23250.0,Floor Cleaners
102,2021-05-20,22410.0,Floor Cleaners
103,2021-05-21,17445.0,Floor Cleaners
104,2021-05-22,17445.0,Floor Cleaners
105,2021-05-23,10271.0,Floor Cleaners
106,2021-05-24,10271.0,Floor Cleaners
