,date,value,name_B07YYZHL8T
0,2020-05-24,23940.0,Building Toys
1,2020-05-25,30349.0,Building Toys
2,2020-05-26,30349.0,Building Toys
3,2020-05-27,30349.0,Building Toys
4,2020-05-28,35030.0,Building Toys
5,2020-05-29,35030.0,Building Toys
6,2020-05-30,35030.0,Building Toys
7,2020-05-31,23206.0,Building Toys
8,2020-06-01,18168.0,Building Toys
9,2020-06-02,26252.0,Building Toys
10,2020-06-03,25513.0,Building Toys
11,2020-06-04,25513.0,Building Toys
12,2020-06-05,25513.0,Building Toys
13,2020-06-06,25513.0,Building Toys
14,2020-06-07,25513.0,Building Toys
15,2020-06-08,25513.0,Building Toys
16,2020-06-09,19474.0,Building Toys
17,2020-06-10,19474.0,Building Toys
18,2020-06-11,19474.0,Building Toys
19,2020-06-12,24618.0,Building Toys
20,2020-06-13,24618.0,Building Toys
21,2020-06-14,17518.0,Building Toys
22,2020-06-15,22405.0,Building Toys
23,2020-06-16,22035.0,Building Toys
24,2020-06-17,25431.0,Building Toys
25,2020-06-18,25431.0,Building Toys
26,2020-06-19,18725.0,Building Toys
27,2020-06-20,18725.0,Building Toys
28,2020-06-21,15292.0,Building Toys
29,2020-06-22,15292.0,Building Toys
30,2020-06-23,15292.0,Building Toys
31,2020-06-24,18643.0,Building Toys
32,2020-06-25,16966.0,Building Toys
33,2020-06-26,20995.0,Building Toys
34,2020-06-27,20995.0,Building Toys
35,2020-06-28,20995.0,Building Toys
36,2020-06-29,13848.0,Building Toys
37,2020-06-30,13848.0,Building Toys
38,2020-07-01,13848.0,Building Toys
39,2020-07-02,21238.0,Building Toys
40,2020-07-03,18721.0,Building Toys
41,2020-07-04,18721.0,Building Toys
42,2020-07-05,18721.0,Building Toys
43,2020-07-06,19777.0,Building Toys
44,2020-07-07,21098.0,Building Toys
45,2020-07-08,34393.0,Building Toys
46,2020-07-09,34393.0,Building Toys
47,2020-07-10,34393.0,Building Toys
48,2020-07-11,34393.0,Building Toys
49,2020-07-12,20697.0,Building Toys
50,2020-07-13,20697.0,Building Toys
51,2020-07-14,20108.0,Building Toys
52,2020-07-15,20108.0,Building Toys
53,2020-07-16,20108.0,Building Toys
54,2020-07-17,20108.0,Building Toys
55,2020-07-18,20525.0,Building Toys
56,2020-07-19,20525.0,Building Toys
57,2020-07-20,20525.0,Building Toys
58,2020-07-21,23344.0,Building Toys
59,2020-07-22,23344.0,Building Toys
60,2020-07-23,23344.0,Building Toys
61,2020-07-24,16938.0,Building Toys
62,2020-07-25,16938.0,Building Toys
63,2020-07-26,25243.0,Building Toys
64,2020-07-27,25243.0,Building Toys
65,2020-07-28,25243.0,Building Toys
66,2020-07-29,25243.0,Building Toys
67,2020-07-30,26741.0,Building Toys
68,2020-07-31,30815.0,Building Toys
69,2020-08-01,30815.0,Building Toys
70,2020-08-02,30815.0,Building Toys
71,2020-08-03,15246.0,Building Toys
72,2020-08-04,15246.0,Building Toys
73,2020-08-05,15246.0,Building Toys
74,2020-08-06,20892.0,Building Toys
75,2020-08-07,20892.0,Building Toys
76,2020-08-08,29524.0,Building Toys
77,2020-08-09,29524.0,Building Toys
78,2020-08-10,29524.0,Building Toys
79,2020-08-11,21490.0,Building Toys
80,2020-08-12,21490.0,Building Toys
81,2020-08-13,21490.0,Building Toys
82,2020-08-14,32708.0,Building Toys
83,2020-08-15,28751.0,Building Toys
84,2020-08-16,27056.0,Building Toys
85,2020-08-17,22958.0,Building Toys
86,2020-08-18,23645.0,Building Toys
87,2020-08-19,23645.0,Building Toys
88,2020-08-20,20652.0,Building Toys
89,2020-08-21,20652.0,Building Toys
90,2020-08-22,22883.0,Building Toys
91,2020-08-23,22053.0,Building Toys
92,2020-08-24,22053.0,Building Toys
93,2020-08-25,30310.0,Building Toys
94,2020-08-26,30310.0,Building Toys
95,2020-08-27,31691.0,Building Toys
96,2020-08-28,31716.0,Building Toys
97,2020-08-29,31716.0,Building Toys
98,2020-08-30,27604.0,Building Toys
99,2020-08-31,27604.0,Building Toys
100,2020-09-01,25017.0,Building Toys
101,2020-09-02,25017.0,Building Toys
102,2020-09-03,25017.0,Building Toys
103,2020-09-04,27050.0,Building Toys
104,2020-09-05,27050.0,Building Toys
105,2020-09-06,24459.0,Building Toys
106,2020-09-07,27295.0,Building Toys
107,2020-09-08,25053.0,Building Toys
108,2020-09-09,16521.0,Building Toys
109,2020-09-10,16521.0,Building Toys
110,2020-09-11,16521.0,Building Toys
111,2020-09-12,13741.0,Building Toys
112,2020-09-13,14238.0,Building Toys
113,2020-09-14,14238.0,Building Toys
114,2020-09-15,14238.0,Building Toys
115,2020-09-16,14238.0,Building Toys
116,2020-09-17,14194.0,Building Toys
117,2020-09-18,12749.0,Building Toys
118,2020-09-19,12749.0,Building Toys
119,2020-09-20,12749.0,Building Toys
120,2020-09-21,22686.0,Building Toys
121,2020-09-22,22686.0,Building Toys
122,2020-09-23,19296.0,Building Toys
123,2020-09-24,13189.0,Building Toys
124,2020-09-25,19235.0,Building Toys
125,2020-09-26,19235.0,Building Toys
126,2020-09-27,19235.0,Building Toys
127,2020-09-28,19235.0,Building Toys
128,2020-09-29,16738.0,Building Toys
129,2020-09-30,15810.0,Building Toys
130,2020-10-01,15810.0,Building Toys
131,2020-10-02,15810.0,Building Toys
132,2020-10-03,19522.0,Building Toys
133,2020-10-04,26813.0,Building Toys
134,2020-10-05,26813.0,Building Toys
135,2020-10-06,24004.0,Building Toys
136,2020-10-07,24004.0,Building Toys
137,2020-10-08,24004.0,Building Toys
138,2020-10-09,26156.0,Building Toys
139,2020-10-10,30764.0,Building Toys
140,2020-10-11,26858.0,Building Toys
141,2020-10-12,26858.0,Building Toys
142,2020-10-13,713.0,Building Toys
143,2020-10-14,222.0,Building Toys
144,2020-10-15,252.0,Building Toys
145,2020-10-16,860.0,Building Toys
146,2020-10-17,860.0,Building Toys
147,2020-10-18,2327.0,Building Toys
148,2020-10-19,2327.0,Building Toys
149,2020-10-20,2327.0,Building Toys
150,2020-10-21,8351.0,Building Toys
151,2020-10-22,8351.0,Building Toys
152,2020-10-23,10407.0,Building Toys
153,2020-10-24,10093.0,Building Toys
154,2020-10-25,10492.0,Building Toys
155,2020-10-26,11340.0,Building Toys
156,2020-10-27,10659.0,Building Toys
157,2020-10-28,10659.0,Building Toys
158,2020-10-29,14044.0,Building Toys
159,2020-10-30,13106.0,Building Toys
160,2020-10-31,10308.0,Building Toys
161,2020-11-01,10308.0,Building Toys
162,2020-11-02,12397.0,Building Toys
163,2020-11-03,10371.0,Building Toys
164,2020-11-04,10371.0,Building Toys
165,2020-11-05,11055.0,Building Toys
166,2020-11-06,12595.0,Building Toys
167,2020-11-07,14708.0,Building Toys
168,2020-11-08,14708.0,Building Toys
169,2020-11-09,14015.0,Building Toys
170,2020-11-10,14015.0,Building Toys
171,2020-11-11,12560.0,Building Toys
172,2020-11-12,12560.0,Building Toys
173,2020-11-13,13050.0,Building Toys
174,2020-11-14,9538.0,Building Toys
175,2020-11-15,9538.0,Building Toys
176,2020-11-16,14935.0,Building Toys
177,2020-11-17,11594.0,Building Toys
178,2020-11-18,13984.0,Building Toys
179,2020-11-19,13105.0,Building Toys
180,2020-11-20,13105.0,Building Toys
181,2020-11-21,13022.0,Building Toys
182,2020-11-22,13291.0,Building Toys
183,2020-11-23,13212.0,Building Toys
184,2020-11-24,12396.0,Building Toys
185,2020-11-25,12396.0,Building Toys
186,2020-11-26,1241.0,Building Toys
187,2020-11-27,3189.0,Building Toys
188,2020-11-28,1437.0,Building Toys
