,date,value,name_B083152KXC
0,2020-06-14,26960.0,Socks & Insoles
1,2020-06-15,26960.0,Socks & Insoles
2,2020-06-16,26960.0,Socks & Insoles
3,2020-06-17,26960.0,Socks & Insoles
4,2020-06-18,26960.0,Socks & Insoles
5,2020-06-19,26960.0,Socks & Insoles
6,2020-06-20,26960.0,Socks & Insoles
7,2020-06-21,26960.0,Socks & Insoles
8,2020-06-22,26960.0,Socks & Insoles
9,2020-06-23,26960.0,Socks & Insoles
10,2020-06-24,26960.0,Socks & Insoles
11,2020-06-25,33543.0,Socks & Insoles
12,2020-06-26,33543.0,Socks & Insoles
13,2020-06-27,33543.0,Socks & Insoles
14,2020-06-28,33543.0,Socks & Insoles
15,2020-06-29,33543.0,Socks & Insoles
16,2020-06-30,33543.0,Socks & Insoles
17,2020-07-01,39360.0,Socks & Insoles
18,2020-07-02,39360.0,Socks & Insoles
19,2020-07-03,39360.0,Socks & Insoles
20,2020-07-04,39360.0,Socks & Insoles
21,2020-07-05,39360.0,Socks & Insoles
22,2020-07-06,39360.0,Socks & Insoles
23,2020-07-07,51576.0,Socks & Insoles
24,2020-07-08,51576.0,Socks & Insoles
25,2020-07-09,51576.0,Socks & Insoles
26,2020-07-10,51576.0,Socks & Insoles
27,2020-07-11,51576.0,Socks & Insoles
28,2020-07-12,51576.0,Socks & Insoles
29,2020-07-13,51576.0,Socks & Insoles
30,2020-07-14,51576.0,Socks & Insoles
31,2020-07-15,51576.0,Socks & Insoles
32,2020-07-16,51576.0,Socks & Insoles
33,2020-07-17,51576.0,Socks & Insoles
34,2020-07-18,51576.0,Socks & Insoles
35,2020-07-19,51576.0,Socks & Insoles
36,2020-07-20,53760.0,Socks & Insoles
37,2020-07-21,53760.0,Socks & Insoles
38,2020-07-22,53760.0,Socks & Insoles
39,2020-07-23,53760.0,Socks & Insoles
40,2020-07-24,53760.0,Socks & Insoles
41,2020-07-25,53760.0,Socks & Insoles
42,2020-07-26,53760.0,Socks & Insoles
43,2020-07-27,53760.0,Socks & Insoles
44,2020-07-28,53760.0,Socks & Insoles
45,2020-07-29,53760.0,Socks & Insoles
46,2020-07-30,53760.0,Socks & Insoles
47,2020-07-31,53760.0,Socks & Insoles
48,2020-08-01,53760.0,Socks & Insoles
49,2020-08-02,53760.0,Socks & Insoles
50,2020-08-03,83150.0,Socks & Insoles
51,2020-08-04,83150.0,Socks & Insoles
52,2020-08-05,83150.0,Socks & Insoles
53,2020-08-06,83150.0,Socks & Insoles
54,2020-08-07,83150.0,Socks & Insoles
55,2020-08-08,83150.0,Socks & Insoles
56,2020-08-09,83150.0,Socks & Insoles
57,2020-08-10,49123.0,Socks & Insoles
58,2020-08-11,49123.0,Socks & Insoles
59,2020-08-12,49123.0,Socks & Insoles
60,2020-08-13,49123.0,Socks & Insoles
61,2020-08-14,49123.0,Socks & Insoles
62,2020-08-15,49123.0,Socks & Insoles
63,2020-08-16,64444.0,Socks & Insoles
64,2020-08-17,64444.0,Socks & Insoles
65,2020-08-18,64444.0,Socks & Insoles
66,2020-08-19,64444.0,Socks & Insoles
67,2020-08-20,64444.0,Socks & Insoles
68,2020-08-21,64444.0,Socks & Insoles
69,2020-08-22,64444.0,Socks & Insoles
70,2020-08-23,64444.0,Socks & Insoles
71,2020-08-24,87686.0,Socks & Insoles
72,2020-08-25,87686.0,Socks & Insoles
73,2020-08-26,87686.0,Socks & Insoles
74,2020-08-27,87686.0,Socks & Insoles
75,2020-08-28,87686.0,Socks & Insoles
76,2020-08-29,87686.0,Socks & Insoles
77,2020-08-30,87686.0,Socks & Insoles
78,2020-08-31,87686.0,Socks & Insoles
79,2020-09-01,105756.0,Socks & Insoles
80,2020-09-02,105756.0,Socks & Insoles
81,2020-09-03,105756.0,Socks & Insoles
82,2020-09-04,105756.0,Socks & Insoles
83,2020-09-05,105756.0,Socks & Insoles
84,2020-09-06,105756.0,Socks & Insoles
85,2020-09-07,105756.0,Socks & Insoles
86,2020-09-08,55120.0,Socks & Insoles
87,2020-09-09,55120.0,Socks & Insoles
88,2020-09-10,55120.0,Socks & Insoles
89,2020-09-11,55120.0,Socks & Insoles
90,2020-09-12,58925.0,Socks & Insoles
91,2020-09-13,58925.0,Socks & Insoles
92,2020-09-14,58925.0,Socks & Insoles
93,2020-09-15,58925.0,Socks & Insoles
94,2020-09-16,58925.0,Socks & Insoles
95,2020-09-17,58925.0,Socks & Insoles
96,2020-09-18,58925.0,Socks & Insoles
97,2020-09-19,58925.0,Socks & Insoles
98,2020-09-20,58925.0,Socks & Insoles
