,date,value,name_B07W7Y94TD
0,2019-09-13,121816.0,Costumes
1,2019-09-14,118046.0,Costumes
2,2019-09-15,123635.0,Costumes
3,2019-09-16,167736.0,Costumes
4,2019-09-17,138973.0,Costumes
5,2019-09-18,133673.0,Costumes
6,2019-09-19,187111.0,Costumes
7,2019-09-20,145848.0,Costumes
8,2019-09-21,82998.0,Costumes
9,2019-09-22,83015.0,Costumes
10,2019-09-23,44487.0,Costumes
11,2019-09-24,43266.0,Costumes
12,2019-09-25,47152.0,Costumes
13,2019-09-26,30716.0,Costumes
14,2019-09-27,36451.0,Costumes
15,2019-09-28,39132.0,Costumes
16,2019-09-29,28315.0,Costumes
17,2019-09-30,37626.0,Costumes
18,2019-10-01,24681.0,Costumes
19,2019-10-02,28226.0,Costumes
20,2019-10-03,36616.0,Costumes
21,2019-10-04,34435.0,Costumes
22,2019-10-05,63595.0,Costumes
23,2019-10-06,91090.0,Costumes
24,2019-10-07,155092.0,Costumes
25,2019-10-08,187350.0,Costumes
26,2019-10-09,126173.0,Costumes
27,2019-10-10,162361.0,Costumes
28,2019-10-11,57280.0,Costumes
29,2019-10-12,57280.0,Costumes
30,2019-10-13,57280.0,Costumes
31,2019-10-14,24743.0,Costumes
32,2019-10-15,24743.0,Costumes
33,2019-10-16,34897.0,Costumes
34,2019-10-17,21392.0,Costumes
35,2019-10-18,20526.0,Costumes
36,2019-10-19,16659.0,Costumes
37,2019-10-20,16659.0,Costumes
38,2019-10-21,16659.0,Costumes
39,2019-10-22,6536.0,Costumes
40,2019-10-23,6532.0,Costumes
41,2019-10-24,11343.0,Costumes
42,2019-10-25,12831.0,Costumes
43,2019-10-26,12831.0,Costumes
44,2019-10-27,12831.0,Costumes
45,2019-10-28,17354.0,Costumes
46,2019-10-29,22796.0,Costumes
47,2019-10-30,20719.0,Costumes
48,2019-10-31,20719.0,Costumes
49,2019-11-01,20719.0,Costumes
50,2019-11-02,33985.0,Costumes
51,2019-11-03,34802.0,Costumes
52,2019-11-04,34802.0,Costumes
53,2019-11-05,44010.0,Costumes
54,2019-11-06,35397.0,Costumes
55,2019-11-07,37586.0,Costumes
56,2019-11-08,37586.0,Costumes
57,2019-11-09,24202.0,Costumes
58,2019-11-10,24202.0,Costumes
59,2019-11-11,22867.0,Costumes
60,2019-11-12,23842.0,Costumes
61,2019-11-13,22715.0,Costumes
62,2019-11-14,22715.0,Costumes
63,2019-11-15,22715.0,Costumes
64,2019-11-16,18725.0,Costumes
