,date,value,name_B08349D354
177,2020-10-07,3745.0,Flags
178,2020-10-08,3745.0,Flags
179,2020-10-09,3745.0,Flags
180,2020-10-10,4481.0,Flags
181,2020-10-11,4481.0,Flags
182,2020-10-12,4481.0,Flags
183,2020-10-13,4683.0,Flags
184,2020-10-14,4313.0,Flags
185,2020-10-15,4313.0,Flags
186,2020-10-16,4441.0,Flags
187,2020-10-17,4441.0,Flags
188,2020-10-18,4441.0,Flags
189,2020-10-19,7068.0,Flags
190,2020-10-20,7068.0,Flags
191,2020-10-21,7068.0,Flags
192,2020-10-22,7488.0,Flags
193,2020-10-23,7488.0,Flags
194,2020-10-24,7488.0,Flags
195,2020-10-25,8412.0,Flags
196,2020-10-26,5584.0,Flags
197,2020-10-27,5584.0,Flags
198,2020-10-28,5584.0,Flags
199,2020-10-29,5585.0,Flags
200,2020-10-30,5585.0,Flags
201,2020-10-31,4492.0,Flags
202,2020-11-01,4492.0,Flags
203,2020-11-02,4492.0,Flags
204,2020-11-03,4492.0,Flags
205,2020-11-04,2600.0,Flags
206,2020-11-05,2600.0,Flags
207,2020-11-06,2600.0,Flags
208,2020-11-07,2336.0,Flags
209,2020-11-08,2336.0,Flags
210,2020-11-09,1399.0,Flags
211,2020-11-10,1399.0,Flags
212,2020-11-11,2047.0,Flags
213,2020-11-12,2047.0,Flags
214,2020-11-13,2047.0,Flags
215,2020-11-14,2656.0,Flags
216,2020-11-15,2656.0,Flags
217,2020-11-16,2656.0,Flags
218,2020-11-17,2474.0,Flags
219,2020-11-18,3131.0,Flags
220,2020-11-19,3131.0,Flags
221,2020-11-20,3131.0,Flags
222,2020-11-21,3554.0,Flags
223,2020-11-22,3554.0,Flags
224,2020-11-23,3554.0,Flags
225,2020-11-24,4613.0,Flags
226,2020-11-25,3990.0,Flags
227,2020-11-26,3990.0,Flags
228,2020-11-27,5738.0,Flags
229,2020-11-28,5738.0,Flags
230,2020-11-29,5738.0,Flags
231,2020-11-30,3338.0,Flags
232,2020-12-01,3338.0,Flags
233,2020-12-02,3338.0,Flags
234,2020-12-03,2851.0,Flags
235,2020-12-04,2851.0,Flags
236,2020-12-05,2851.0,Flags
237,2020-12-06,2810.0,Flags
238,2020-12-07,2810.0,Flags
