,date,value,name_B092RGV2TF
0,2021-04-22,1558.0,Racks & Displays
1,2021-04-23,1558.0,Racks & Displays
2,2021-04-24,1558.0,Racks & Displays
3,2021-04-25,1474.0,Racks & Displays
4,2021-04-26,1474.0,Racks & Displays
5,2021-04-27,1613.0,Racks & Displays
6,2021-04-28,1613.0,Racks & Displays
7,2021-04-29,1766.0,Racks & Displays
8,2021-04-30,1766.0,Racks & Displays
9,2021-05-01,1616.0,Racks & Displays
10,2021-05-02,1616.0,Racks & Displays
11,2021-05-03,1616.0,Racks & Displays
12,2021-05-04,1616.0,Racks & Displays
13,2021-05-05,1668.0,Racks & Displays
14,2021-05-06,1567.0,Racks & Displays
15,2021-05-07,1749.0,Racks & Displays
16,2021-05-08,1749.0,Racks & Displays
17,2021-05-09,1928.0,Racks & Displays
18,2021-05-10,1928.0,Racks & Displays
19,2021-05-11,1990.0,Racks & Displays
20,2021-05-12,1990.0,Racks & Displays
21,2021-05-13,1450.0,Racks & Displays
22,2021-05-14,1721.0,Racks & Displays
23,2021-05-15,1767.0,Racks & Displays
24,2021-05-16,1767.0,Racks & Displays
25,2021-05-17,2493.0,Racks & Displays
26,2021-05-18,2493.0,Racks & Displays
27,2021-05-19,2493.0,Racks & Displays
28,2021-05-20,1710.0,Racks & Displays
29,2021-05-21,1710.0,Racks & Displays
30,2021-05-22,1591.0,Racks & Displays
31,2021-05-23,1591.0,Racks & Displays
32,2021-05-24,1625.0,Racks & Displays
33,2021-05-25,1625.0,Racks & Displays
34,2021-05-26,1463.0,Racks & Displays
35,2021-05-27,1672.0,Racks & Displays
36,2021-05-28,1672.0,Racks & Displays
37,2021-05-29,1591.0,Racks & Displays
38,2021-05-30,1591.0,Racks & Displays
39,2021-05-31,2040.0,Racks & Displays
40,2021-06-01,2040.0,Racks & Displays
41,2021-06-02,1502.0,Racks & Displays
42,2021-06-03,1502.0,Racks & Displays
43,2021-06-04,1549.0,Racks & Displays
44,2021-06-05,1549.0,Racks & Displays
45,2021-06-06,1885.0,Racks & Displays
46,2021-06-07,1885.0,Racks & Displays
47,2021-06-08,1404.0,Racks & Displays
48,2021-06-09,1982.0,Racks & Displays
49,2021-06-10,1982.0,Racks & Displays
50,2021-06-11,1982.0,Racks & Displays
51,2021-06-12,1665.0,Racks & Displays
52,2021-06-13,1665.0,Racks & Displays
53,2021-06-14,2043.0,Racks & Displays
54,2021-06-15,2043.0,Racks & Displays
55,2021-06-16,1874.0,Racks & Displays
56,2021-06-17,1874.0,Racks & Displays
57,2021-06-18,1874.0,Racks & Displays
58,2021-06-19,1797.0,Racks & Displays
59,2021-06-20,1797.0,Racks & Displays
60,2021-06-21,2255.0,Racks & Displays
61,2021-06-22,2791.0,Racks & Displays
62,2021-06-23,2791.0,Racks & Displays
63,2021-06-24,2791.0,Racks & Displays
64,2021-06-25,2008.0,Racks & Displays
65,2021-06-26,2008.0,Racks & Displays
66,2021-06-27,2165.0,Racks & Displays
67,2021-06-28,2165.0,Racks & Displays
68,2021-06-29,2000.0,Racks & Displays
69,2021-06-30,2000.0,Racks & Displays
70,2021-07-01,2058.0,Racks & Displays
71,2021-07-02,1889.0,Racks & Displays
72,2021-07-03,2044.0,Racks & Displays
73,2021-07-04,2044.0,Racks & Displays
74,2021-07-05,2044.0,Racks & Displays
75,2021-07-06,1652.0,Racks & Displays
76,2021-07-07,1652.0,Racks & Displays
77,2021-07-08,1846.0,Racks & Displays
78,2021-07-09,1846.0,Racks & Displays
79,2021-07-10,2042.0,Racks & Displays
