,date,value,name_B086HF8BPC
0,2020-06-18,6645.0,Pillow Inserts
1,2020-06-19,5137.0,Pillow Inserts
2,2020-06-20,5209.0,Pillow Inserts
3,2020-06-21,5209.0,Pillow Inserts
4,2020-06-22,5209.0,Pillow Inserts
5,2020-06-23,5884.0,Pillow Inserts
6,2020-06-24,5884.0,Pillow Inserts
7,2020-06-25,5765.0,Pillow Inserts
8,2020-06-26,5765.0,Pillow Inserts
9,2020-06-27,5765.0,Pillow Inserts
10,2020-06-28,4443.0,Pillow Inserts
11,2020-06-29,4443.0,Pillow Inserts
12,2020-06-30,4443.0,Pillow Inserts
13,2020-07-01,5774.0,Pillow Inserts
14,2020-07-02,5774.0,Pillow Inserts
15,2020-07-03,5269.0,Pillow Inserts
16,2020-07-04,5269.0,Pillow Inserts
17,2020-07-05,5269.0,Pillow Inserts
18,2020-07-06,3840.0,Pillow Inserts
19,2020-07-07,4101.0,Pillow Inserts
20,2020-07-08,3513.0,Pillow Inserts
21,2020-07-09,3513.0,Pillow Inserts
22,2020-07-10,2733.0,Pillow Inserts
23,2020-07-11,2733.0,Pillow Inserts
24,2020-07-12,3005.0,Pillow Inserts
25,2020-07-13,3449.0,Pillow Inserts
26,2020-07-14,3449.0,Pillow Inserts
27,2020-07-15,3449.0,Pillow Inserts
28,2020-07-16,3131.0,Pillow Inserts
29,2020-07-17,3131.0,Pillow Inserts
30,2020-07-18,3131.0,Pillow Inserts
31,2020-07-19,4206.0,Pillow Inserts
32,2020-07-20,5215.0,Pillow Inserts
33,2020-07-21,5305.0,Pillow Inserts
34,2020-07-22,5863.0,Pillow Inserts
35,2020-07-23,6435.0,Pillow Inserts
36,2020-07-24,6435.0,Pillow Inserts
37,2020-07-25,6849.0,Pillow Inserts
38,2020-07-26,6849.0,Pillow Inserts
39,2020-07-27,7579.0,Pillow Inserts
40,2020-07-28,7579.0,Pillow Inserts
41,2020-07-29,7579.0,Pillow Inserts
42,2020-07-30,5325.0,Pillow Inserts
43,2020-07-31,5279.0,Pillow Inserts
44,2020-08-01,5279.0,Pillow Inserts
45,2020-08-02,6041.0,Pillow Inserts
46,2020-08-03,5112.0,Pillow Inserts
47,2020-08-04,5112.0,Pillow Inserts
48,2020-08-05,5963.0,Pillow Inserts
49,2020-08-06,5963.0,Pillow Inserts
50,2020-08-07,5963.0,Pillow Inserts
51,2020-08-08,6152.0,Pillow Inserts
52,2020-08-09,8002.0,Pillow Inserts
53,2020-08-10,8094.0,Pillow Inserts
54,2020-08-11,8094.0,Pillow Inserts
55,2020-08-12,9859.0,Pillow Inserts
56,2020-08-13,8134.0,Pillow Inserts
57,2020-08-14,8134.0,Pillow Inserts
58,2020-08-15,8134.0,Pillow Inserts
59,2020-08-16,8849.0,Pillow Inserts
60,2020-08-17,13504.0,Pillow Inserts
61,2020-08-18,13504.0,Pillow Inserts
62,2020-08-19,8736.0,Pillow Inserts
63,2020-08-20,8162.0,Pillow Inserts
64,2020-08-21,10838.0,Pillow Inserts
65,2020-08-22,10838.0,Pillow Inserts
66,2020-08-23,10838.0,Pillow Inserts
67,2020-08-24,10838.0,Pillow Inserts
68,2020-08-25,13275.0,Pillow Inserts
69,2020-08-26,13684.0,Pillow Inserts
70,2020-08-27,15248.0,Pillow Inserts
71,2020-08-28,15248.0,Pillow Inserts
72,2020-08-29,15248.0,Pillow Inserts
73,2020-08-30,15248.0,Pillow Inserts
74,2020-08-31,12772.0,Pillow Inserts
75,2020-09-01,12772.0,Pillow Inserts
76,2020-09-02,10516.0,Pillow Inserts
77,2020-09-03,10516.0,Pillow Inserts
78,2020-09-04,10516.0,Pillow Inserts
79,2020-09-05,10516.0,Pillow Inserts
80,2020-09-06,10294.0,Pillow Inserts
81,2020-09-07,10294.0,Pillow Inserts
82,2020-09-08,8389.0,Pillow Inserts
83,2020-09-09,10209.0,Pillow Inserts
84,2020-09-10,10209.0,Pillow Inserts
85,2020-09-11,11234.0,Pillow Inserts
86,2020-09-12,9942.0,Pillow Inserts
87,2020-09-13,12677.0,Pillow Inserts
88,2020-09-14,12677.0,Pillow Inserts
89,2020-09-15,12677.0,Pillow Inserts
90,2020-09-16,13483.0,Pillow Inserts
91,2020-09-17,13483.0,Pillow Inserts
92,2020-09-18,13483.0,Pillow Inserts
93,2020-09-19,13483.0,Pillow Inserts
94,2020-09-20,14208.0,Pillow Inserts
95,2020-09-21,14208.0,Pillow Inserts
96,2020-09-22,14208.0,Pillow Inserts
97,2020-09-23,14208.0,Pillow Inserts
98,2020-09-24,11454.0,Pillow Inserts
99,2020-09-25,11454.0,Pillow Inserts
100,2020-09-26,13705.0,Pillow Inserts
101,2020-09-27,13705.0,Pillow Inserts
102,2020-09-28,12429.0,Pillow Inserts
103,2020-09-29,15038.0,Pillow Inserts
104,2020-09-30,15038.0,Pillow Inserts
105,2020-10-01,15038.0,Pillow Inserts
106,2020-10-02,15767.0,Pillow Inserts
107,2020-10-03,15767.0,Pillow Inserts
108,2020-10-04,13035.0,Pillow Inserts
109,2020-10-05,13035.0,Pillow Inserts
110,2020-10-06,13035.0,Pillow Inserts
111,2020-10-07,11303.0,Pillow Inserts
112,2020-10-08,11303.0,Pillow Inserts
113,2020-10-09,11303.0,Pillow Inserts
114,2020-10-10,11666.0,Pillow Inserts
115,2020-10-11,11666.0,Pillow Inserts
116,2020-10-12,12885.0,Pillow Inserts
117,2020-10-13,12885.0,Pillow Inserts
118,2020-10-14,12885.0,Pillow Inserts
119,2020-10-15,13117.0,Pillow Inserts
120,2020-10-16,13117.0,Pillow Inserts
121,2020-10-17,13117.0,Pillow Inserts
122,2020-10-18,13117.0,Pillow Inserts
123,2020-10-19,14321.0,Pillow Inserts
124,2020-10-20,14321.0,Pillow Inserts
125,2020-10-21,14321.0,Pillow Inserts
