,date,value,name_B08P39KXZH
0,2021-01-30,169355.0,Wall Sculptures
1,2021-01-31,169355.0,Wall Sculptures
2,2021-02-01,169355.0,Wall Sculptures
3,2021-02-02,169355.0,Wall Sculptures
4,2021-02-03,169355.0,Wall Sculptures
5,2021-02-04,169355.0,Wall Sculptures
6,2021-02-05,169355.0,Wall Sculptures
7,2021-02-06,169355.0,Wall Sculptures
8,2021-02-07,169355.0,Wall Sculptures
9,2021-02-08,169355.0,Wall Sculptures
10,2021-02-09,169355.0,Wall Sculptures
11,2021-02-10,169355.0,Wall Sculptures
12,2021-02-11,169355.0,Wall Sculptures
13,2021-02-12,169355.0,Wall Sculptures
14,2021-02-13,169355.0,Wall Sculptures
15,2021-02-14,90075.0,Wall Sculptures
16,2021-02-15,90075.0,Wall Sculptures
17,2021-02-16,90075.0,Wall Sculptures
18,2021-02-17,90075.0,Wall Sculptures
19,2021-02-18,90075.0,Wall Sculptures
20,2021-02-19,90075.0,Wall Sculptures
21,2021-02-20,90075.0,Wall Sculptures
22,2021-02-21,90075.0,Wall Sculptures
23,2021-02-22,90075.0,Wall Sculptures
24,2021-02-23,90075.0,Wall Sculptures
25,2021-02-24,357202.0,Wall Sculptures
26,2021-02-25,357202.0,Wall Sculptures
27,2021-02-26,357202.0,Wall Sculptures
28,2021-02-27,357202.0,Wall Sculptures
29,2021-02-28,357202.0,Wall Sculptures
30,2021-03-01,100175.0,Wall Sculptures
31,2021-03-02,100175.0,Wall Sculptures
32,2021-03-03,100175.0,Wall Sculptures
33,2021-03-04,100175.0,Wall Sculptures
34,2021-03-05,44260.0,Wall Sculptures
35,2021-03-06,44260.0,Wall Sculptures
36,2021-03-07,44260.0,Wall Sculptures
37,2021-03-08,44260.0,Wall Sculptures
38,2021-03-09,43999.0,Wall Sculptures
39,2021-03-10,43999.0,Wall Sculptures
40,2021-03-11,30005.0,Wall Sculptures
41,2021-03-12,30005.0,Wall Sculptures
42,2021-03-13,30005.0,Wall Sculptures
43,2021-03-14,66600.0,Wall Sculptures
44,2021-03-15,81648.0,Wall Sculptures
45,2021-03-16,81648.0,Wall Sculptures
46,2021-03-17,81648.0,Wall Sculptures
47,2021-03-18,81648.0,Wall Sculptures
48,2021-03-19,63306.0,Wall Sculptures
49,2021-03-20,63306.0,Wall Sculptures
50,2021-03-21,63859.0,Wall Sculptures
51,2021-03-22,69584.0,Wall Sculptures
52,2021-03-23,69584.0,Wall Sculptures
53,2021-03-24,53315.0,Wall Sculptures
54,2021-03-25,53315.0,Wall Sculptures
55,2021-03-26,33368.0,Wall Sculptures
56,2021-03-27,60499.0,Wall Sculptures
57,2021-03-28,55942.0,Wall Sculptures
58,2021-03-29,40366.0,Wall Sculptures
59,2021-03-30,61129.0,Wall Sculptures
60,2021-03-31,61129.0,Wall Sculptures
61,2021-04-01,72439.0,Wall Sculptures
62,2021-04-02,72439.0,Wall Sculptures
63,2021-04-03,66872.0,Wall Sculptures
64,2021-04-04,66872.0,Wall Sculptures
65,2021-04-05,66872.0,Wall Sculptures
66,2021-04-06,66872.0,Wall Sculptures
67,2021-04-07,39141.0,Wall Sculptures
68,2021-04-08,39141.0,Wall Sculptures
69,2021-04-09,39141.0,Wall Sculptures
70,2021-04-10,39141.0,Wall Sculptures
71,2021-04-11,39141.0,Wall Sculptures
72,2021-04-12,39141.0,Wall Sculptures
73,2021-04-13,39141.0,Wall Sculptures
74,2021-04-14,39141.0,Wall Sculptures
75,2021-04-15,39141.0,Wall Sculptures
76,2021-04-16,39141.0,Wall Sculptures
77,2021-04-17,39141.0,Wall Sculptures
78,2021-04-18,39141.0,Wall Sculptures
79,2021-04-19,39141.0,Wall Sculptures
80,2021-04-20,39141.0,Wall Sculptures
81,2021-04-21,39141.0,Wall Sculptures
82,2021-04-22,39141.0,Wall Sculptures
83,2021-04-23,39141.0,Wall Sculptures
84,2021-04-24,39141.0,Wall Sculptures
85,2021-04-25,39141.0,Wall Sculptures
86,2021-04-26,39141.0,Wall Sculptures
87,2021-04-27,39141.0,Wall Sculptures
88,2021-04-28,39141.0,Wall Sculptures
89,2021-04-29,39141.0,Wall Sculptures
90,2021-04-30,39141.0,Wall Sculptures
91,2021-05-01,39141.0,Wall Sculptures
92,2021-05-02,39141.0,Wall Sculptures
93,2021-05-03,39141.0,Wall Sculptures
94,2021-05-04,39141.0,Wall Sculptures
95,2021-05-05,39141.0,Wall Sculptures
96,2021-05-06,39141.0,Wall Sculptures
97,2021-05-07,39141.0,Wall Sculptures
98,2021-05-08,39141.0,Wall Sculptures
99,2021-05-09,39141.0,Wall Sculptures
100,2021-05-10,39141.0,Wall Sculptures
101,2021-05-11,83900.0,Wall Sculptures
102,2021-05-12,83900.0,Wall Sculptures
103,2021-05-13,62319.0,Wall Sculptures
