,date,value,name_B07X33X7ZM
0,2019-08-31,26786.0,Throws
1,2019-09-01,26198.0,Throws
2,2019-09-02,25372.0,Throws
3,2019-09-03,26987.0,Throws
4,2019-09-04,31400.0,Throws
5,2019-09-05,29903.0,Throws
6,2019-09-06,38974.0,Throws
7,2019-09-07,25320.0,Throws
8,2019-09-08,32986.0,Throws
9,2019-09-09,33751.0,Throws
10,2019-09-10,41271.0,Throws
11,2019-09-11,40286.0,Throws
12,2019-09-12,32547.0,Throws
13,2019-09-13,34862.0,Throws
14,2019-09-14,46205.0,Throws
15,2019-09-15,40512.0,Throws
16,2019-09-16,38063.0,Throws
17,2019-09-17,32695.0,Throws
18,2019-09-18,35679.0,Throws
19,2019-09-19,39013.0,Throws
20,2019-09-20,36144.0,Throws
21,2019-09-21,38806.0,Throws
22,2019-09-22,49109.0,Throws
23,2019-09-23,49376.0,Throws
24,2019-09-24,55536.0,Throws
25,2019-09-25,27635.0,Throws
26,2019-09-26,40772.0,Throws
27,2019-09-27,48512.0,Throws
28,2019-09-28,54007.0,Throws
29,2019-09-29,30814.0,Throws
30,2019-09-30,28361.0,Throws
31,2019-10-01,28361.0,Throws
32,2019-10-02,28361.0,Throws
33,2019-10-03,26851.0,Throws
34,2019-10-04,26851.0,Throws
35,2019-10-05,39992.0,Throws
36,2019-10-06,39992.0,Throws
37,2019-10-07,19430.0,Throws
38,2019-10-08,19430.0,Throws
39,2019-10-09,19430.0,Throws
40,2019-10-10,35289.0,Throws
41,2019-10-11,35289.0,Throws
42,2019-10-12,39150.0,Throws
43,2019-10-13,39150.0,Throws
44,2019-10-14,39150.0,Throws
45,2019-10-15,25728.0,Throws
46,2019-10-16,29066.0,Throws
47,2019-10-17,34503.0,Throws
48,2019-10-18,25218.0,Throws
49,2019-10-19,25218.0,Throws
50,2019-10-20,24413.0,Throws
51,2019-10-21,24413.0,Throws
52,2019-10-22,24413.0,Throws
53,2019-10-23,34233.0,Throws
54,2019-10-24,35496.0,Throws
55,2019-10-25,34871.0,Throws
56,2019-10-26,35465.0,Throws
57,2019-10-27,41736.0,Throws
58,2019-10-28,28437.0,Throws
59,2019-10-29,51349.0,Throws
60,2019-10-30,51349.0,Throws
61,2019-10-31,38376.0,Throws
62,2019-11-01,40476.0,Throws
63,2019-11-02,30219.0,Throws
64,2019-11-03,45810.0,Throws
65,2019-11-04,42204.0,Throws
66,2019-11-05,34053.0,Throws
67,2019-11-06,35066.0,Throws
68,2019-11-07,35566.0,Throws
69,2019-11-08,35566.0,Throws
70,2019-11-09,35420.0,Throws
71,2019-11-10,35420.0,Throws
72,2019-11-11,35420.0,Throws
73,2019-11-12,25889.0,Throws
74,2019-11-13,25889.0,Throws
75,2019-11-14,25889.0,Throws
76,2019-11-15,25889.0,Throws
77,2019-11-16,25889.0,Throws
78,2019-11-17,41560.0,Throws
