,date,value,name_B08HLQ7PQV
0,2020-09-14,56514.0,Garden Hoses
1,2020-09-15,56514.0,Garden Hoses
2,2020-09-16,56514.0,Garden Hoses
3,2020-09-17,56514.0,Garden Hoses
4,2020-09-18,56514.0,Garden Hoses
5,2020-09-19,56514.0,Garden Hoses
6,2020-09-20,13791.0,Garden Hoses
7,2020-09-21,13791.0,Garden Hoses
8,2020-09-22,15993.0,Garden Hoses
9,2020-09-23,15993.0,Garden Hoses
10,2020-09-24,18536.0,Garden Hoses
11,2020-09-25,20673.0,Garden Hoses
12,2020-09-26,20673.0,Garden Hoses
13,2020-09-27,20673.0,Garden Hoses
14,2020-09-28,20673.0,Garden Hoses
15,2020-09-29,20673.0,Garden Hoses
16,2020-09-30,20673.0,Garden Hoses
17,2020-10-01,20673.0,Garden Hoses
18,2020-10-02,20673.0,Garden Hoses
19,2020-10-03,20673.0,Garden Hoses
20,2020-10-04,20673.0,Garden Hoses
21,2020-10-05,20673.0,Garden Hoses
22,2020-10-06,15416.0,Garden Hoses
23,2020-10-07,15416.0,Garden Hoses
24,2020-10-08,15416.0,Garden Hoses
25,2020-10-09,14344.0,Garden Hoses
26,2020-10-10,14344.0,Garden Hoses
27,2020-10-11,14344.0,Garden Hoses
28,2020-10-12,14344.0,Garden Hoses
29,2020-10-13,11679.0,Garden Hoses
30,2020-10-14,22.0,Garden Hoses
31,2020-10-15,22.0,Garden Hoses
32,2020-10-16,22.0,Garden Hoses
33,2020-10-17,587.0,Garden Hoses
34,2020-10-18,1221.0,Garden Hoses
35,2020-10-19,2171.0,Garden Hoses
36,2020-10-20,2171.0,Garden Hoses
37,2020-10-21,3910.0,Garden Hoses
38,2020-10-22,5414.0,Garden Hoses
39,2020-10-23,6499.0,Garden Hoses
40,2020-10-24,6499.0,Garden Hoses
41,2020-10-25,9431.0,Garden Hoses
42,2020-10-26,8819.0,Garden Hoses
43,2020-10-27,8819.0,Garden Hoses
44,2020-10-28,10872.0,Garden Hoses
45,2020-10-29,6099.0,Garden Hoses
46,2020-10-30,1751.0,Garden Hoses
47,2020-10-31,1751.0,Garden Hoses
48,2020-11-01,1751.0,Garden Hoses
49,2020-11-02,6329.0,Garden Hoses
50,2020-11-03,6329.0,Garden Hoses
51,2020-11-04,7624.0,Garden Hoses
52,2020-11-05,1179.0,Garden Hoses
53,2020-11-06,2690.0,Garden Hoses
54,2020-11-07,2690.0,Garden Hoses
55,2020-11-08,2690.0,Garden Hoses
56,2020-11-09,2690.0,Garden Hoses
57,2020-11-10,9688.0,Garden Hoses
58,2020-11-11,6613.0,Garden Hoses
59,2020-11-12,7842.0,Garden Hoses
60,2020-11-13,7842.0,Garden Hoses
61,2020-11-14,7842.0,Garden Hoses
