,date,value,name_B085L4YNX4
0,2020-03-09,492.0,Grilling & Barbecue Utensils
1,2020-03-10,520.0,Grilling & Barbecue Utensils
2,2020-03-11,520.0,Grilling & Barbecue Utensils
3,2020-03-12,520.0,Grilling & Barbecue Utensils
4,2020-03-13,789.0,Grilling & Barbecue Utensils
5,2020-03-14,789.0,Grilling & Barbecue Utensils
6,2020-03-15,789.0,Grilling & Barbecue Utensils
7,2020-03-16,798.0,Grilling & Barbecue Utensils
8,2020-03-17,798.0,Grilling & Barbecue Utensils
9,2020-03-18,945.0,Grilling & Barbecue Utensils
10,2020-03-19,945.0,Grilling & Barbecue Utensils
11,2020-03-20,945.0,Grilling & Barbecue Utensils
12,2020-03-21,1561.0,Grilling & Barbecue Utensils
13,2020-03-22,1561.0,Grilling & Barbecue Utensils
14,2020-03-23,1561.0,Grilling & Barbecue Utensils
15,2020-03-24,1221.0,Grilling & Barbecue Utensils
16,2020-03-25,960.0,Grilling & Barbecue Utensils
17,2020-03-26,960.0,Grilling & Barbecue Utensils
18,2020-03-27,960.0,Grilling & Barbecue Utensils
19,2020-03-28,960.0,Grilling & Barbecue Utensils
20,2020-03-29,960.0,Grilling & Barbecue Utensils
21,2020-03-30,960.0,Grilling & Barbecue Utensils
22,2020-03-31,1157.0,Grilling & Barbecue Utensils
23,2020-04-01,1211.0,Grilling & Barbecue Utensils
24,2020-04-02,1491.0,Grilling & Barbecue Utensils
25,2020-04-03,1491.0,Grilling & Barbecue Utensils
26,2020-04-04,1491.0,Grilling & Barbecue Utensils
27,2020-04-05,1491.0,Grilling & Barbecue Utensils
28,2020-04-06,1444.0,Grilling & Barbecue Utensils
29,2020-04-07,1350.0,Grilling & Barbecue Utensils
30,2020-04-08,1434.0,Grilling & Barbecue Utensils
31,2020-04-09,1434.0,Grilling & Barbecue Utensils
32,2020-04-10,1844.0,Grilling & Barbecue Utensils
33,2020-04-11,1844.0,Grilling & Barbecue Utensils
34,2020-04-12,1844.0,Grilling & Barbecue Utensils
35,2020-04-13,1106.0,Grilling & Barbecue Utensils
36,2020-04-14,1106.0,Grilling & Barbecue Utensils
37,2020-04-15,1078.0,Grilling & Barbecue Utensils
38,2020-04-16,1078.0,Grilling & Barbecue Utensils
39,2020-04-17,1078.0,Grilling & Barbecue Utensils
40,2020-04-18,1154.0,Grilling & Barbecue Utensils
41,2020-04-19,1154.0,Grilling & Barbecue Utensils
42,2020-04-20,1154.0,Grilling & Barbecue Utensils
43,2020-04-21,1154.0,Grilling & Barbecue Utensils
44,2020-04-22,1138.0,Grilling & Barbecue Utensils
45,2020-04-23,1138.0,Grilling & Barbecue Utensils
46,2020-04-24,1356.0,Grilling & Barbecue Utensils
47,2020-04-25,1356.0,Grilling & Barbecue Utensils
48,2020-04-26,1170.0,Grilling & Barbecue Utensils
49,2020-04-27,1088.0,Grilling & Barbecue Utensils
50,2020-04-28,1088.0,Grilling & Barbecue Utensils
51,2020-04-29,1164.0,Grilling & Barbecue Utensils
52,2020-04-30,1164.0,Grilling & Barbecue Utensils
53,2020-05-01,1164.0,Grilling & Barbecue Utensils
54,2020-05-02,1343.0,Grilling & Barbecue Utensils
55,2020-05-03,1123.0,Grilling & Barbecue Utensils
56,2020-05-04,1123.0,Grilling & Barbecue Utensils
57,2020-05-05,1171.0,Grilling & Barbecue Utensils
58,2020-05-06,1171.0,Grilling & Barbecue Utensils
59,2020-05-07,1460.0,Grilling & Barbecue Utensils
60,2020-05-08,1460.0,Grilling & Barbecue Utensils
61,2020-05-09,1460.0,Grilling & Barbecue Utensils
62,2020-05-10,1288.0,Grilling & Barbecue Utensils
63,2020-05-11,1288.0,Grilling & Barbecue Utensils
64,2020-05-12,1288.0,Grilling & Barbecue Utensils
65,2020-05-13,1215.0,Grilling & Barbecue Utensils
66,2020-05-14,1557.0,Grilling & Barbecue Utensils
67,2020-05-15,1557.0,Grilling & Barbecue Utensils
68,2020-05-16,1557.0,Grilling & Barbecue Utensils
69,2020-05-17,1635.0,Grilling & Barbecue Utensils
70,2020-05-18,1635.0,Grilling & Barbecue Utensils
71,2020-05-19,1635.0,Grilling & Barbecue Utensils
72,2020-05-20,1619.0,Grilling & Barbecue Utensils
73,2020-05-21,1513.0,Grilling & Barbecue Utensils
74,2020-05-22,1705.0,Grilling & Barbecue Utensils
75,2020-05-23,1705.0,Grilling & Barbecue Utensils
76,2020-05-24,1705.0,Grilling & Barbecue Utensils
77,2020-05-25,1487.0,Grilling & Barbecue Utensils
78,2020-05-26,642.0,Grilling & Barbecue Utensils
79,2020-05-27,1022.0,Grilling & Barbecue Utensils
80,2020-05-28,1133.0,Grilling & Barbecue Utensils
81,2020-05-29,1133.0,Grilling & Barbecue Utensils
82,2020-05-30,1133.0,Grilling & Barbecue Utensils
83,2020-05-31,1133.0,Grilling & Barbecue Utensils
84,2020-06-01,979.0,Grilling & Barbecue Utensils
85,2020-06-02,630.0,Grilling & Barbecue Utensils
86,2020-06-03,630.0,Grilling & Barbecue Utensils
87,2020-06-04,630.0,Grilling & Barbecue Utensils
88,2020-06-05,443.0,Grilling & Barbecue Utensils
89,2020-06-06,450.0,Grilling & Barbecue Utensils
90,2020-06-07,450.0,Grilling & Barbecue Utensils
91,2020-06-08,318.0,Grilling & Barbecue Utensils
92,2020-06-09,605.0,Grilling & Barbecue Utensils
93,2020-06-10,581.0,Grilling & Barbecue Utensils
94,2020-06-11,581.0,Grilling & Barbecue Utensils
95,2020-06-12,743.0,Grilling & Barbecue Utensils
96,2020-06-13,781.0,Grilling & Barbecue Utensils
97,2020-06-14,781.0,Grilling & Barbecue Utensils
98,2020-06-15,879.0,Grilling & Barbecue Utensils
99,2020-06-16,776.0,Grilling & Barbecue Utensils
100,2020-06-17,776.0,Grilling & Barbecue Utensils
101,2020-06-18,776.0,Grilling & Barbecue Utensils
102,2020-06-19,1033.0,Grilling & Barbecue Utensils
103,2020-06-20,1033.0,Grilling & Barbecue Utensils
104,2020-06-21,1143.0,Grilling & Barbecue Utensils
105,2020-06-22,835.0,Grilling & Barbecue Utensils
106,2020-06-23,1110.0,Grilling & Barbecue Utensils
107,2020-06-24,1152.0,Grilling & Barbecue Utensils
108,2020-06-25,1152.0,Grilling & Barbecue Utensils
109,2020-06-26,1863.0,Grilling & Barbecue Utensils
110,2020-06-27,1863.0,Grilling & Barbecue Utensils
111,2020-06-28,1863.0,Grilling & Barbecue Utensils
112,2020-06-29,1476.0,Grilling & Barbecue Utensils
113,2020-06-30,1476.0,Grilling & Barbecue Utensils
114,2020-07-01,1206.0,Grilling & Barbecue Utensils
115,2020-07-02,1206.0,Grilling & Barbecue Utensils
116,2020-07-03,1206.0,Grilling & Barbecue Utensils
117,2020-07-04,1356.0,Grilling & Barbecue Utensils
118,2020-07-05,1356.0,Grilling & Barbecue Utensils
119,2020-07-06,977.0,Grilling & Barbecue Utensils
120,2020-07-07,977.0,Grilling & Barbecue Utensils
121,2020-07-08,977.0,Grilling & Barbecue Utensils
122,2020-07-09,1048.0,Grilling & Barbecue Utensils
123,2020-07-10,1048.0,Grilling & Barbecue Utensils
124,2020-07-11,1048.0,Grilling & Barbecue Utensils
125,2020-07-12,1236.0,Grilling & Barbecue Utensils
126,2020-07-13,1089.0,Grilling & Barbecue Utensils
127,2020-07-14,1116.0,Grilling & Barbecue Utensils
128,2020-07-15,1116.0,Grilling & Barbecue Utensils
129,2020-07-16,1116.0,Grilling & Barbecue Utensils
130,2020-07-17,1192.0,Grilling & Barbecue Utensils
131,2020-07-18,1192.0,Grilling & Barbecue Utensils
132,2020-07-19,1192.0,Grilling & Barbecue Utensils
133,2020-07-20,1452.0,Grilling & Barbecue Utensils
134,2020-07-21,1452.0,Grilling & Barbecue Utensils
135,2020-07-22,1452.0,Grilling & Barbecue Utensils
136,2020-07-23,1582.0,Grilling & Barbecue Utensils
137,2020-07-24,1582.0,Grilling & Barbecue Utensils
138,2020-07-25,1379.0,Grilling & Barbecue Utensils
139,2020-07-26,1379.0,Grilling & Barbecue Utensils
140,2020-07-27,1379.0,Grilling & Barbecue Utensils
141,2020-07-28,1396.0,Grilling & Barbecue Utensils
142,2020-07-29,1212.0,Grilling & Barbecue Utensils
143,2020-07-30,1212.0,Grilling & Barbecue Utensils
144,2020-07-31,1212.0,Grilling & Barbecue Utensils
145,2020-08-01,1651.0,Grilling & Barbecue Utensils
146,2020-08-02,1651.0,Grilling & Barbecue Utensils
147,2020-08-03,1617.0,Grilling & Barbecue Utensils
148,2020-08-04,1617.0,Grilling & Barbecue Utensils
149,2020-08-05,1617.0,Grilling & Barbecue Utensils
150,2020-08-06,2011.0,Grilling & Barbecue Utensils
151,2020-08-07,2011.0,Grilling & Barbecue Utensils
152,2020-08-08,2011.0,Grilling & Barbecue Utensils
153,2020-08-09,1688.0,Grilling & Barbecue Utensils
154,2020-08-10,1688.0,Grilling & Barbecue Utensils
155,2020-08-11,1760.0,Grilling & Barbecue Utensils
156,2020-08-12,1760.0,Grilling & Barbecue Utensils
157,2020-08-13,1897.0,Grilling & Barbecue Utensils
158,2020-08-14,1897.0,Grilling & Barbecue Utensils
159,2020-08-15,1897.0,Grilling & Barbecue Utensils
160,2020-08-16,1454.0,Grilling & Barbecue Utensils
161,2020-08-17,1454.0,Grilling & Barbecue Utensils
162,2020-08-18,1454.0,Grilling & Barbecue Utensils
163,2020-08-19,1370.0,Grilling & Barbecue Utensils
164,2020-08-20,1370.0,Grilling & Barbecue Utensils
165,2020-08-21,1294.0,Grilling & Barbecue Utensils
166,2020-08-22,1294.0,Grilling & Barbecue Utensils
167,2020-08-23,1294.0,Grilling & Barbecue Utensils
168,2020-08-24,1294.0,Grilling & Barbecue Utensils
169,2020-08-25,1302.0,Grilling & Barbecue Utensils
170,2020-08-26,1302.0,Grilling & Barbecue Utensils
171,2020-08-27,1302.0,Grilling & Barbecue Utensils
172,2020-08-28,1260.0,Grilling & Barbecue Utensils
173,2020-08-29,1260.0,Grilling & Barbecue Utensils
174,2020-08-30,1260.0,Grilling & Barbecue Utensils
175,2020-08-31,1390.0,Grilling & Barbecue Utensils
176,2020-09-01,1390.0,Grilling & Barbecue Utensils
177,2020-09-02,1639.0,Grilling & Barbecue Utensils
178,2020-09-03,1639.0,Grilling & Barbecue Utensils
179,2020-09-04,1639.0,Grilling & Barbecue Utensils
180,2020-09-05,1639.0,Grilling & Barbecue Utensils
181,2020-09-06,1378.0,Grilling & Barbecue Utensils
182,2020-09-07,1378.0,Grilling & Barbecue Utensils
