,date,value,name_B08HLKT5ZL
0,2020-09-11,8432.0,Umbrellas
1,2020-09-12,8432.0,Umbrellas
2,2020-09-13,8432.0,Umbrellas
3,2020-09-14,8432.0,Umbrellas
4,2020-09-15,6985.0,Umbrellas
5,2020-09-16,6985.0,Umbrellas
6,2020-09-17,4964.0,Umbrellas
7,2020-09-18,4964.0,Umbrellas
8,2020-09-19,4964.0,Umbrellas
9,2020-09-20,4964.0,Umbrellas
10,2020-09-21,4964.0,Umbrellas
11,2020-09-22,6698.0,Umbrellas
12,2020-09-23,6698.0,Umbrellas
13,2020-09-24,12428.0,Umbrellas
14,2020-09-25,10256.0,Umbrellas
15,2020-09-26,10256.0,Umbrellas
16,2020-09-27,9797.0,Umbrellas
17,2020-09-28,9797.0,Umbrellas
18,2020-09-29,9797.0,Umbrellas
19,2020-09-30,9797.0,Umbrellas
20,2020-10-01,5281.0,Umbrellas
21,2020-10-02,6671.0,Umbrellas
22,2020-10-03,6671.0,Umbrellas
23,2020-10-04,6671.0,Umbrellas
24,2020-10-05,2633.0,Umbrellas
25,2020-10-06,2633.0,Umbrellas
26,2020-10-07,2633.0,Umbrellas
27,2020-10-08,7300.0,Umbrellas
28,2020-10-09,7300.0,Umbrellas
29,2020-10-10,7991.0,Umbrellas
30,2020-10-11,7991.0,Umbrellas
31,2020-10-12,7991.0,Umbrellas
32,2020-10-13,7991.0,Umbrellas
33,2020-10-14,14676.0,Umbrellas
34,2020-10-15,14676.0,Umbrellas
35,2020-10-16,14676.0,Umbrellas
36,2020-10-17,14676.0,Umbrellas
37,2020-10-18,14676.0,Umbrellas
38,2020-10-19,13740.0,Umbrellas
39,2020-10-20,13740.0,Umbrellas
40,2020-10-21,13740.0,Umbrellas
41,2020-10-22,16335.0,Umbrellas
42,2020-10-23,16335.0,Umbrellas
43,2020-10-24,16335.0,Umbrellas
44,2020-10-25,19567.0,Umbrellas
45,2020-10-26,19567.0,Umbrellas
46,2020-10-27,19567.0,Umbrellas
47,2020-10-28,19567.0,Umbrellas
48,2020-10-29,16428.0,Umbrellas
49,2020-10-30,16428.0,Umbrellas
50,2020-10-31,16428.0,Umbrellas
51,2020-11-01,16428.0,Umbrellas
52,2020-11-02,16428.0,Umbrellas
53,2020-11-03,35712.0,Umbrellas
54,2020-11-04,35712.0,Umbrellas
55,2020-11-05,16900.0,Umbrellas
56,2020-11-06,16900.0,Umbrellas
57,2020-11-07,16900.0,Umbrellas
58,2020-11-08,16900.0,Umbrellas
