,date,value,name_B08Y8N96VL
0,2021-05-16,64185.0,Lids
1,2021-05-17,74336.0,Lids
2,2021-05-18,74336.0,Lids
3,2021-05-19,98167.0,Lids
4,2021-05-20,152550.0,Lids
5,2021-05-21,154443.0,Lids
6,2021-05-22,154443.0,Lids
7,2021-05-23,128789.0,Lids
8,2021-05-24,163795.0,Lids
9,2021-05-25,95646.0,Lids
10,2021-05-26,139747.0,Lids
11,2021-05-27,45760.0,Lids
12,2021-05-28,57955.0,Lids
13,2021-05-29,63060.0,Lids
14,2021-05-30,28938.0,Lids
15,2021-05-31,22956.0,Lids
16,2021-06-01,21169.0,Lids
17,2021-06-02,21247.0,Lids
18,2021-06-03,18556.0,Lids
19,2021-06-04,19650.0,Lids
20,2021-06-05,13493.0,Lids
21,2021-06-06,11877.0,Lids
22,2021-06-07,10667.0,Lids
23,2021-06-08,11215.0,Lids
24,2021-06-09,8494.0,Lids
25,2021-06-10,11163.0,Lids
26,2021-06-11,10186.0,Lids
27,2021-06-12,15175.0,Lids
28,2021-06-13,17054.0,Lids
29,2021-06-14,15169.0,Lids
30,2021-06-15,20094.0,Lids
31,2021-06-16,25448.0,Lids
32,2021-06-17,23168.0,Lids
33,2021-06-18,24112.0,Lids
34,2021-06-19,31067.0,Lids
35,2021-06-20,38527.0,Lids
36,2021-06-21,37662.0,Lids
37,2021-06-22,39300.0,Lids
38,2021-06-23,40960.0,Lids
39,2021-06-24,41321.0,Lids
40,2021-06-25,34974.0,Lids
41,2021-06-26,22303.0,Lids
42,2021-06-27,25830.0,Lids
43,2021-06-28,26899.0,Lids
44,2021-06-29,14648.0,Lids
45,2021-06-30,16580.0,Lids
46,2021-07-01,16236.0,Lids
47,2021-07-02,22617.0,Lids
48,2021-07-03,21728.0,Lids
49,2021-07-04,27516.0,Lids
50,2021-07-05,40239.0,Lids
51,2021-07-06,36270.0,Lids
52,2021-07-07,34185.0,Lids
53,2021-07-08,26537.0,Lids
54,2021-07-09,36867.0,Lids
