,date,value,name_B082KCKS72
0,2020-04-02,184995.0,Quilt Sets
1,2020-04-03,184995.0,Quilt Sets
2,2020-04-04,184995.0,Quilt Sets
3,2020-04-05,184995.0,Quilt Sets
4,2020-04-06,184995.0,Quilt Sets
5,2020-04-07,184995.0,Quilt Sets
6,2020-04-08,261188.0,Quilt Sets
7,2020-04-09,261188.0,Quilt Sets
8,2020-04-10,261188.0,Quilt Sets
9,2020-04-11,261188.0,Quilt Sets
10,2020-04-12,261188.0,Quilt Sets
11,2020-04-13,174072.0,Quilt Sets
12,2020-04-14,174072.0,Quilt Sets
13,2020-04-15,174072.0,Quilt Sets
14,2020-04-16,174072.0,Quilt Sets
15,2020-04-17,135711.0,Quilt Sets
16,2020-04-18,135711.0,Quilt Sets
17,2020-04-19,135711.0,Quilt Sets
18,2020-04-20,135711.0,Quilt Sets
19,2020-04-21,135711.0,Quilt Sets
20,2020-04-22,135711.0,Quilt Sets
21,2020-04-23,135711.0,Quilt Sets
22,2020-04-24,135711.0,Quilt Sets
23,2020-04-25,135711.0,Quilt Sets
24,2020-04-26,135711.0,Quilt Sets
25,2020-04-27,135711.0,Quilt Sets
26,2020-04-28,135711.0,Quilt Sets
27,2020-04-29,110980.0,Quilt Sets
28,2020-04-30,110980.0,Quilt Sets
29,2020-05-01,110980.0,Quilt Sets
30,2020-05-02,110980.0,Quilt Sets
31,2020-05-03,117142.0,Quilt Sets
32,2020-05-04,117142.0,Quilt Sets
33,2020-05-05,117142.0,Quilt Sets
34,2020-05-06,117142.0,Quilt Sets
35,2020-05-07,117142.0,Quilt Sets
36,2020-05-08,60794.0,Quilt Sets
37,2020-05-09,60794.0,Quilt Sets
38,2020-05-10,64769.0,Quilt Sets
39,2020-05-11,64769.0,Quilt Sets
40,2020-05-12,64769.0,Quilt Sets
41,2020-05-13,46438.0,Quilt Sets
42,2020-05-14,46438.0,Quilt Sets
43,2020-05-15,70313.0,Quilt Sets
44,2020-05-16,70313.0,Quilt Sets
45,2020-05-17,92157.0,Quilt Sets
46,2020-05-18,92157.0,Quilt Sets
47,2020-05-19,92157.0,Quilt Sets
48,2020-05-20,92157.0,Quilt Sets
49,2020-05-21,55672.0,Quilt Sets
50,2020-05-22,59249.0,Quilt Sets
51,2020-05-23,59249.0,Quilt Sets
52,2020-05-24,59249.0,Quilt Sets
53,2020-05-25,59249.0,Quilt Sets
54,2020-05-26,59249.0,Quilt Sets
55,2020-05-27,59249.0,Quilt Sets
56,2020-05-28,63695.0,Quilt Sets
57,2020-05-29,63695.0,Quilt Sets
58,2020-05-30,63695.0,Quilt Sets
59,2020-05-31,63695.0,Quilt Sets
60,2020-06-01,66486.0,Quilt Sets
61,2020-06-02,72064.0,Quilt Sets
62,2020-06-03,76437.0,Quilt Sets
63,2020-06-04,76437.0,Quilt Sets
64,2020-06-05,76437.0,Quilt Sets
65,2020-06-06,76437.0,Quilt Sets
66,2020-06-07,76437.0,Quilt Sets
67,2020-06-08,140923.0,Quilt Sets
68,2020-06-09,140923.0,Quilt Sets
69,2020-06-10,140923.0,Quilt Sets
70,2020-06-11,140923.0,Quilt Sets
71,2020-06-12,140923.0,Quilt Sets
72,2020-06-13,140923.0,Quilt Sets
73,2020-06-14,140923.0,Quilt Sets
74,2020-06-15,346538.0,Quilt Sets
75,2020-06-16,346538.0,Quilt Sets
76,2020-06-17,346538.0,Quilt Sets
77,2020-06-18,346538.0,Quilt Sets
78,2020-06-19,346538.0,Quilt Sets
79,2020-06-20,103724.0,Quilt Sets
80,2020-06-21,103724.0,Quilt Sets
81,2020-06-22,103724.0,Quilt Sets
82,2020-06-23,103724.0,Quilt Sets
83,2020-06-24,70186.0,Quilt Sets
84,2020-06-25,70186.0,Quilt Sets
85,2020-06-26,70186.0,Quilt Sets
86,2020-06-27,70186.0,Quilt Sets
87,2020-06-28,70186.0,Quilt Sets
88,2020-06-29,66889.0,Quilt Sets
89,2020-06-30,66889.0,Quilt Sets
90,2020-07-01,66889.0,Quilt Sets
91,2020-07-02,71686.0,Quilt Sets
92,2020-07-03,71686.0,Quilt Sets
93,2020-07-04,71686.0,Quilt Sets
94,2020-07-05,71686.0,Quilt Sets
95,2020-07-06,71686.0,Quilt Sets
96,2020-07-07,71686.0,Quilt Sets
97,2020-07-08,71686.0,Quilt Sets
98,2020-07-09,212474.0,Quilt Sets
99,2020-07-10,212474.0,Quilt Sets
100,2020-07-11,212474.0,Quilt Sets
101,2020-07-12,212474.0,Quilt Sets
102,2020-07-13,212474.0,Quilt Sets
103,2020-07-14,39620.0,Quilt Sets
104,2020-07-15,39620.0,Quilt Sets
105,2020-07-16,28838.0,Quilt Sets
106,2020-07-17,28838.0,Quilt Sets
107,2020-07-18,28838.0,Quilt Sets
108,2020-07-19,28838.0,Quilt Sets
109,2020-07-20,25095.0,Quilt Sets
