,product,product_list_0
0,../data/all_dict/B017P2RBHK,B017P2RBHK
1,../data/all_dict/B018696D52,B018696D52
2,../data/all_dict/B01I9U6MS6,B01I9U6MS6
3,../data/all_dict/B071D74NBL,B071D74NBL
4,../data/all_dict/B0788769XR,B0788769XR
5,../data/all_dict/B079F9LRVY,B079F9LRVY
6,../data/all_dict/B07B9PZDPD,B07B9PZDPD
7,../data/all_dict/B07DX9CF6V,B07DX9CF6V
8,../data/all_dict/B07HNMTHVS,B07HNMTHVS
9,../data/all_dict/B07HPDLM8L,
10,../data/all_dict/B07JM2P5Z5,B07JM2P5Z5
11,../data/all_dict/B07N6NL4BV,B07N6NL4BV
12,../data/all_dict/B07PN62569,B07PN62569
13,../data/all_dict/B07RC94DR6,B07RC94DR6
14,../data/all_dict/B07RJTTC8S,B07RJTTC8S
15,../data/all_dict/B07RV1986F,B07RV1986F
16,../data/all_dict/B07S383J5Y,B07S383J5Y
17,../data/all_dict/B07SGYNRS5,B07SGYNRS5
18,../data/all_dict/B07T1FB82W,B07T1FB82W
19,../data/all_dict/B07T94GTJ4,
20,../data/all_dict/B07VVZPK93,B07VVZPK93
21,../data/all_dict/B07W8ZW4RC,B07W8ZW4RC
22,../data/all_dict/B07XJG3QHV,B07XJG3QHV
23,../data/all_dict/B07XKXMPCL,B07XKXMPCL
24,../data/all_dict/B07Y6JW5TG,
25,../data/all_dict/B07Z5R8VKH,B07Z5R8VKH
26,../data/all_dict/B07ZHZBNJM,B07ZHZBNJM
27,../data/all_dict/B0815Y6JTP,B0815Y6JTP
28,../data/all_dict/B0818P64H4,B0818P64H4
29,../data/all_dict/B0822PSG4B,B0822PSG4B
30,../data/all_dict/B082PM8MWP,B082PM8MWP
31,../data/all_dict/B082PMBSJB,B082PMBSJB
32,../data/all_dict/B0839MY7YQ,B0839MY7YQ
33,../data/all_dict/B083JMF3KC,B083JMF3KC
34,../data/all_dict/B083W3FXKP,B083W3FXKP
35,../data/all_dict/B084CJY57B,B084CJY57B
36,../data/all_dict/B084JGFY7B,
37,../data/all_dict/B085TK79JT,B085TK79JT
38,../data/all_dict/B08688M7JZ,B08688M7JZ
39,../data/all_dict/B086BPQXFJ,B086BPQXFJ
40,../data/all_dict/B086KYQ37G,B086KYQ37G
41,../data/all_dict/B08864Z81W,B08864Z81W
42,../data/all_dict/B088X2XPMV,B088X2XPMV
43,../data/all_dict/B089FB743W,B089FB743W
44,../data/all_dict/B089J4WX8C,B089J4WX8C
45,../data/all_dict/B08BN6Q8H1,B08BN6Q8H1
46,../data/all_dict/B08CH6XDZZ,B08CH6XDZZ
47,../data/all_dict/B08CRTRTWP,B08CRTRTWP
48,../data/all_dict/B08CZTBC8M,
49,../data/all_dict/B08F713218,B08F713218
50,../data/all_dict/B08FW9B597,B08FW9B597
51,../data/all_dict/B08G8FVWNS,B08G8FVWNS
52,../data/all_dict/B08GDDLYDX,B08GDDLYDX
53,../data/all_dict/B08HG2YCDM,
54,../data/all_dict/B08HR6XTQZ,B08HR6XTQZ
55,../data/all_dict/B08J32W613,B08J32W613
56,../data/all_dict/B08J33QZS6,B08J33QZS6
57,../data/all_dict/B08J55KXWW,B08J55KXWW
58,../data/all_dict/B08KS5GTBP,B08KS5GTBP
59,../data/all_dict/B08KWYQVP6,B08KWYQVP6
60,../data/all_dict/B08KX5SDN8,B08KX5SDN8
61,../data/all_dict/B08KZ6YC94,B08KZ6YC94
62,../data/all_dict/B08KZH82J9,B08KZH82J9
63,../data/all_dict/B08L7LLMTG,B08L7LLMTG
64,../data/all_dict/B08LFPX63L,B08LFPX63L
65,../data/all_dict/B08LH9H7RR,B08LH9H7RR
66,../data/all_dict/B08LZ1Q3C8,B08LZ1Q3C8
67,../data/all_dict/B08M1DHTJH,B08M1DHTJH
68,../data/all_dict/B08M52DMN1,B08M52DMN1
69,../data/all_dict/B08M551NN6,B08M551NN6
70,../data/all_dict/B08M55XZDV,B08M55XZDV
71,../data/all_dict/B08M5DQPJ4,B08M5DQPJ4
72,../data/all_dict/B08M64LH6V,B08M64LH6V
73,../data/all_dict/B08MFNP2J5,B08MFNP2J5
74,../data/all_dict/B08MGVHZDJ,B08MGVHZDJ
75,../data/all_dict/B08MZ11PJD,
76,../data/all_dict/B08NGQXKJD,B08NGQXKJD
77,../data/all_dict/B08NW4XHP1,B08NW4XHP1
78,../data/all_dict/B08NWGNTXK,B08NWGNTXK
79,../data/all_dict/B08NX9478K,B08NX9478K
80,../data/all_dict/B08PHLD3L8,B08PHLD3L8
81,../data/all_dict/B08PV2RFJC,B08PV2RFJC
82,../data/all_dict/B08Q5QC11B,B08Q5QC11B
83,../data/all_dict/B08QR47Q9X,B08QR47Q9X
84,../data/all_dict/B08QR4BQWC,B08QR4BQWC
85,../data/all_dict/B08QR4Y643,B08QR4Y643
86,../data/all_dict/B08RZ6WT5W,B08RZ6WT5W
87,../data/all_dict/B08SBPD2FK,B08SBPD2FK
88,../data/all_dict/B08SR47KVD,B08SR47KVD
89,../data/all_dict/B08TGCJR86,B08TGCJR86
90,../data/all_dict/B08VWMWPM5,B08VWMWPM5
91,../data/all_dict/B08W8Q5K2D,B08W8Q5K2D
92,../data/all_dict/B08W924J4P,B08W924J4P
93,../data/all_dict/B08WHR762T,B08WHR762T
94,../data/all_dict/B08WL6FMG9,B08WL6FMG9
95,../data/all_dict/B08WVDQ2S3,B08WVDQ2S3
96,../data/all_dict/B08XPRYPC2,B08XPRYPC2
97,../data/all_dict/B08Y6ZFR3N,B08Y6ZFR3N
98,../data/all_dict/B08Y8S3D9H,B08Y8S3D9H
99,../data/all_dict/B08YQ9C27L,B08YQ9C27L
100,../data/all_dict/B08YQPJK88,B08YQPJK88
101,../data/all_dict/B08ZF67QGC,B08ZF67QGC
102,../data/all_dict/B08ZH2MLXB,B08ZH2MLXB
103,../data/all_dict/B08ZKBW24F,B08ZKBW24F
104,../data/all_dict/B08ZKKBVSL,B08ZKKBVSL
