product_code,mean_absolute_percentage_error,pred_coverage,Root_Mean_Squared_Error
B00E3A9FN6,0.096,0.905,1827.04
B00EOPB11O,0.379,0.575,19351.012
B00GJDPMKU,0.066,0.988,175.895
B00JC4VY8C,0.472,0.202,3235.783
B00JVA8RGY,0.144,0.48,2838.643
B00MWU3EPY,0.208,0.524,12302.212
B00P5N9X0K,0.446,0.329,3688.817
B00PHMD7NS,0.485,0.44,17983.417
B00Q4RRJ1G,0.139,0.976,1963.632
B00Q4SB2AY,0.172,0.889,3120.981
B00UCKD7IA,0.108,0.948,88.925
B00X7AF4CY,385687.24,0.333,461635.77
B00YPQXMV4,0.086,0.786,1474.977
B00ZKIIBZS,0.109,0.806,1754.221
B01079HHO0,0.338,0.179,8678.619
B0146YFGKO,0.227,0.722,15391.427
B01BFHG9OM,0.114,1.0,1684.795
B01D7NVO2E,0.129,1.0,4072.357
B01DLB9O88,0.275,1.0,3409.397
B01HMW9UT0,0.026,1.0,558.273
B01I9U8YUA,0.48,0.984,62797.442
B01IJ34OAQ,0.19,0.437,7083.229
B01IJ36L16,0.084,0.901,1867.229
B01IPMMM3C,0.266,1.0,3141.665
B01K4XGBCI,0.094,1.0,3142.835
B01L9U99DI,0.764,0.214,16711.932
B01LDH7GOQ,0.241,0.988,2242.436
B01M218O4H,0.152,0.917,9129.387
B01M2YFGVE,0.181,0.492,1905.155
B01M3PSOK9,0.567,1.0,7788.654
B01N288GIX,0.103,0.829,1052.751
B01N3P9W29,0.08,0.988,395.183
B01N7Y2A8M,0.105,0.837,197.684
B01N9ORWDI,0.206,0.849,5717.406
B06WCZSVBR,0.252,0.825,6681.718
B06XCGYR89,0.474,1.0,1385.591
B06ZYSPVN3,0.777,0.556,35068.723
B071SGC7YP,0.189,1.0,4179.829
B073V38LNW,0.118,0.929,1524.39
B073V4QZ2K,0.13,0.81,1905.872
B073V585CR,0.358,0.389,3438.139
B073V72B7J,2.643,0.143,10366.611
B0747P8X6B,0.431,0.536,11757.94
B074P3RP4R,0.447,0.258,423.012
B074QVB1BV,0.185,0.508,638.737
B0753JSMRW,0.127,0.345,590.353
B075F6YWSM,0.856,0.544,8428.663
B0763S4JR3,0.29,0.571,15490.362
B076PJH2RN,0.236,0.857,3337.016
B076QG36HX,0.263,0.595,2475.105
B076YGNW2Z,0.373,0.413,227164.519
B077BJ7YJ8,0.994,0.337,10413.667
B077BMBT3C,0.309,0.917,228.159
B077BPZ9FX,0.589,0.321,27805.461
B077QNWBQ7,0.085,0.948,1208.176
B077T8FVP3,0.121,0.591,386.278
B078HB66FD,2.463,0.071,46933.283
B078K5B9DH,0.294,0.167,2932.257
B078RKZXFX,1.263,0.464,6870.412
B078RV57LS,0.148,0.821,1872.302
B079XTZKF3,0.215,0.952,3296.141
B07B3XGWGC,0.446,1.0,2837.502
B07BGBW6QM,0.515,0.429,7882.366
B07BJCPLHC,0.091,0.952,2010.538
B07BMTMMLK,0.124,0.952,1535.408
B07BTN8NWF,0.309,0.861,16263.583
B07C52SB91,0.489,0.714,8481.823
B07C8C3985,0.114,0.849,10907.166
B07CHVSD1N,0.231,0.647,2302.657
B07CJW5MKT,0.162,0.726,2155.619
B07CTDD9M1,0.138,0.579,4691.68
B07CVPK5V3,0.258,1.0,3030.448
B07CZDFCB1,1.29,1.0,2719.536
B07D6XVS2M,0.132,0.94,3218.68
B07D7JGR79,0.106,0.849,2308.95
B07DMBRVNK,0.279,1.0,1241.57
B07F88768W,0.132,0.679,1070.14
B07FSQCW7B,0.951,1.0,3533.576
B07FTVWHTP,0.135,0.631,2951.155
B07FWX6873,0.243,1.0,1831.879
B07GBFRL3P,1.89,1.0,31441.224
B07GFFZBXV,0.139,0.679,3369.321
B07GHN63CC,0.09,1.0,175.114
B07GNSH1VB,0.172,0.325,4000.529
B07GT7R8HD,0.653,1.0,6035.874
B07HGH41KK,0.187,1.0,1978.947
B07HNSZP9X,0.423,0.853,3500.165
B07J1L3WP5,0.099,0.901,563.029
B07JBJ4JB1,0.09,0.94,406.561
B07JFJR8WG,0.745,1.0,5463.248
B07JGXJYSG,0.698,1.0,2390.961
B07JNPRLY5,0.269,1.0,897.859
B07JYQQRSQ,0.162,1.0,3682.595
B07K1LL522,3.348,0.238,81057.666
B07K9GTWWX,0.687,0.444,6833.272
B07KB39T3T,0.216,0.512,2316.289
B07KBGX7MS,0.411,0.607,178057.744
B07KLFGKRV,0.28,0.905,37628.217
B07KP1N9SF,0.389,1.0,19994.294
B07KPNXZ52,0.245,0.829,1115.967
B07L19HJLC,0.142,1.0,4141.496
B07L3P18PM,0.358,0.881,7629.927
B07L41V9V2,0.513,0.929,11146.637
B07LGYGXQM,0.106,0.94,3563.97
B07MF3WLZY,0.091,0.905,1471.09
B07MF6T9MM,0.238,0.167,2178.884
B07MKZFKWG,0.183,0.766,14664.34
B07MNG8F61,0.307,0.952,9646.731
B07MP1CZ8B,0.209,0.758,9527.597
B07MYVWVYM,0.508,0.19,5039.848
B07MYWXQ98,2.839,0.25,9999.827
B07N1DSLBL,0.151,1.0,6848.471
B07N8FNPZZ,0.196,0.845,5249.796
B07NHRXLP2,0.148,0.437,178.644
B07NRZ1MGF,0.694,0.81,13564.579
B07P41PJX5,18.292,0.083,52562.248
B07P7F6TDJ,0.103,0.69,2288.946
B07P928YCN,0.072,1.0,1061.438
B07P95Z7QR,0.467,0.329,7763.498
B07PLJH8QJ,0.633,0.095,1773.671
B07PZ7WJ1H,0.314,0.472,16179.607
B07Q13NMJP,0.241,0.56,4476.831
B07Q58ZWCS,0.443,0.167,371.738
B07Q5PP3JH,0.581,0.02,16424.41
B07QGL926T,0.98,1.0,12960.209
B07QPC1Y6Q,0.52,0.405,35667.973
B07QZ4FD3T,0.137,0.774,1328.265
B07RZH1P7W,0.075,0.77,1071.355
B07S7R5V72,0.505,1.0,10302.511
B07SNHJZ9H,0.182,0.952,5680.211
B07SXDM6VC,0.249,0.921,272.712
B07T14G9XF,0.463,0.131,3163.651
B07T3F3GYR,0.44,0.286,3755.73
B07T4SXC6P,0.172,0.94,2047.349
B07T6VWTVM,3.838,0.083,1644.362
B07T914FW1,3.475,0.238,86348.577
B07TRP7FJ3,0.177,0.81,977.204
B07TYN8K7K,0.258,0.976,1708.434
B07V4SYWWP,0.671,0.667,6046.693
B07V6T2J41,0.209,0.655,3456.076
B07VCLG1DD,0.601,0.163,21193.712
B07VDSNPJM,0.456,0.369,6543.163
B07VH7G621,0.45,0.159,2528.567
B07VXL25Y9,0.358,0.607,20065.862
B07WQF29W9,0.436,0.155,33212.18
B07WX5T9NB,0.608,0.544,8752.122
B07WZ1BBKR,0.173,0.476,5776.058
B07X5MTF4F,0.243,0.786,4524.967
B07X8QT534,0.103,1.0,415.214
B07X8Z5CXX,0.122,0.968,640.043
B07XCLFD2X,0.543,0.563,35769.272
B07XFT5F62,0.645,0.19,12905.769
B07XL6SKD5,0.207,0.611,424.614
B07XZKSPYH,0.69,0.333,14837.797
B07Y42BDW6,0.091,1.0,1213.382
B07YCSDWK4,0.279,0.802,7501.206
B07YCTNHVD,0.117,1.0,1625.303
B07Z6NJVML,0.262,0.976,4797.01
B07ZJW9XRG,0.15,0.929,5491.577
B07ZWD2111,0.821,0.052,14541.26
B07ZYWYWLZ,0.51,1.0,3880.082
B081DP3JL7,0.387,0.512,24775.356
B081DYSLTD,0.119,0.865,102.242
B081SCC6GW,0.242,0.786,4010.192
B082F6WGQ9,0.042,1.0,12695.532
B083152KXC,0.25,1.0,7506.066
B083M8D6HN,0.35,0.869,10768.992
B083ZLY75W,1.376,1.0,421.011
B084FKSYFJ,0.122,1.0,3999.081
B084RBSB9J,0.32,0.333,1997.544
B084RK1BJK,0.108,0.857,1310.617
B084SJR15R,0.258,1.0,6622.315
B0851SFXH3,0.466,0.988,4586.883
B08532LRTM,0.24,0.929,3960.087
B085434C7C,2.826,1.0,1762.516
B0854NMH99,0.328,0.933,2602.098
B0856393XM,0.101,0.952,1211.226
B085DTRJZR,0.403,0.393,1448.855
B085GF4Z7C,0.19,0.762,4322.546
B085HXZ3N6,0.366,0.857,31701.053
B085R8VXH4,0.482,0.226,1882.039
B086GKNCT8,1.115,1.0,14347.148
B086LL5SC6,0.278,0.794,2111.005
B086WNCGWR,0.151,1.0,585.88
B0876DKY8C,0.162,0.631,293.725
B087C9P6QZ,0.73,0.242,4745.538
B087Q6WT5H,0.172,0.774,1920.41
B087V92N4M,9.155,0.226,203447.516
B087ZRGBTK,0.222,0.401,4963.248
B088GVYQTZ,0.115,0.821,1891.498
B08929NHCW,3.59,0.964,1733.929
B0892JWNFB,0.314,0.357,2204.172
B089B2P67Z,0.185,0.496,1183.679
B089KGZKK6,0.592,0.722,19976.606
B089TXNX73,0.377,0.242,335.491
B089X269CL,0.11,0.615,109.547
B08B7VQV76,1.862,0.476,129872.45
B08BBCZ1XJ,0.267,0.611,10610.627
B08BJV88N3,0.477,0.222,3443.604
B08BVR73DL,0.928,0.194,4345.703
B08CQF1QHB,0.22,0.857,5934.392
B08CR9J4X7,0.112,0.861,1534.806
B08CSKG1Q6,0.076,0.94,965.75
B08F1XJX31,0.099,0.667,1775.925
B08F1Y5XFR,0.093,0.766,1706.938
B08FF2BHRX,0.116,0.778,1817.19
B08FF5858G,0.407,0.464,17696.217
B08FFNF2XZ,0.09,0.968,92.797
B08FLGQ5JM,0.506,1.0,2719.763
B08G8FZJ1Y,1.991,0.913,20025.111
B08GJG873G,2.97,0.357,18483.025
B08GR1NR12,0.165,0.571,1398.736
B08H1RRQ4J,0.86,0.095,29387.154
B08H4P393H,0.203,0.861,6349.782
B08H7DJWPK,0.436,0.127,3974.834
B08HT3DGT5,0.638,0.508,11217.607
B08HWP1F41,0.078,0.79,614.801
B08HWQCQ5B,0.111,0.77,519.109
B08HWR9DG8,0.974,0.147,23863.273
B08J2XTG8N,0.565,0.0,2802.111
B08J32W4TD,0.203,0.587,1598.837
B08J357J1R,0.219,0.369,168.174
B08J911SH5,0.093,0.817,223.395
B08JJ44JR8,0.373,1.0,31299.942
B08JPHT4R2,0.097,0.325,2255.326
B08KG6HTL6,0.117,0.988,1156.413
B08KPQYNJ8,1.08,0.274,12267.386
B08KQL3DSZ,0.313,0.976,1600.511
B08KR9C2YX,0.087,0.734,1410.168
B08L5N865H,0.326,0.321,5423.62
B08L8TYTKJ,0.472,0.821,98096.373
B08LHHM5J6,6.41,0.095,4576.064
B08LKDNDNL,0.123,0.75,1574.663
B08MFQWF8T,0.203,0.643,2572.115
B08ML2QL52,0.147,0.532,1018.097
B08MSYSBMT,0.201,0.845,1798.688
B08NSPSYVP,1.001,0.544,6395.415
B08NTX2P6P,0.426,0.794,1074.442
B08PDNS8Q7,1.519,0.234,24991.358
B08PF14WRG,0.402,0.687,8860.372
B08PHHSYC3,0.123,0.881,3612.327
B08PHXD26L,2.079,0.714,11100.688
B08PJKH15H,0.2,0.27,7325.618
B08PQB951B,3.465,0.024,153901.565
B08Q6DKCNZ,0.545,0.587,14594.759
B08Q8MY4D7,0.345,0.278,3831.411
B08QJH3JJV,0.336,0.417,2127.324
B08QZHXWKZ,21.956,0.476,85308.593
B08R2STNYG,0.304,0.401,4717.342
B08R6T3GTP,0.1,0.607,176.719
B08S7NLY7N,0.625,0.476,3069.974
B08SQSM4HG,1.069,0.25,16488.324
B08T9W6L3S,1.865,0.393,20088.997
B08TC1CX1D,0.185,0.631,5806.73
B08TY8J2DH,0.599,0.226,116497.09
B08V58TSRV,1.658,0.548,29299.491
B08VGFZ5YJ,0.275,0.448,48712.223
B08VJ15XFQ,0.164,0.488,1016.817
B08VRC7FWG,0.143,0.714,5308.11
B08VRSGY4X,0.292,0.27,751.111
B08VSDRNMW,0.547,0.183,860.525
B08W22CDQW,0.819,0.357,32746.14
B08W7WBLSC,7.598,0.119,108018.282
B08WBLFCD6,1548.243,0.024,17484.888
B08WHCS21S,0.458,0.393,117.885
B08X67FB7R,1.68,0.024,33012.127
B08X9YR8N1,0.442,0.087,7468.463
B08XC2CK23,0.18,0.484,13.754
B08XLV1PDK,0.234,0.25,9701.797
B08XY9H851,0.887,0.321,14620.591
B08XYBPHQ7,0.306,0.067,5522.261
B08XZ4N8LG,1.303,0.075,13222.693
B08XZKLGYC,0.359,0.167,14803.773
